,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,40.0,41.111111111111114,42.22222222222222,43.333333333333336,44.44444444444444,45.55555555555556,46.666666666666664,47.77777777777778,48.888888888888886,50.0
1,39.99902112184936,41.1097345179717,42.220773176812315,43.331811835652935,44.44285049449355,45.55388915333416,46.664927812174774,47.775966471015394,48.88700512985601,49.99771852597835
2,39.9980421911028,41.10835810981211,42.219324225890375,43.3302904371849,44.44125664847942,45.55222285977393,46.663189071068444,47.77415528236297,48.885121398441235,49.99543731715055
3,39.997063207833286,41.10698188652424,42.217875369478115,43.328769137922755,44.43966290639527,45.55055667486777,46.661450443340286,47.772344211784926,48.8832376947388,49.993156373429755
4,39.99608417211375,41.10560584800009,42.2164266075972,43.32724793786005,44.43806926823433,45.54889059860861,46.65971192898289,47.770533259245745,48.88135401884285,49.99087569472919
5,39.99510508401704,41.10422999413176,42.21497794026924,43.32572683699033,44.43647573398982,45.547224630989355,46.65797352798885,47.76872242470994,48.87947037084742,49.98859528096213
6,39.99412594361598,41.10285432481144,42.21352936751581,43.32420583530715,44.43488230365497,45.54555877200292,46.65623524035075,47.76691170814209,48.87758675084646,49.986315132041916
7,39.99314675098329,41.101478839931424,42.21208088935843,43.322684932804066,44.43328897722301,45.543893021642226,46.65449706606117,47.76510110950681,48.87570315893382,49.984035247881934
8,39.992167506191684,41.1001035393841,42.21063250581858,43.32116412947467,44.43169575468715,45.54222737990019,46.65275900511267,47.763290628768765,48.87381959520324,49.981755628395646
9,39.991188209313776,41.09872842306196,42.20918421691768,43.31964342531253,44.430102636040615,45.54056184676973,46.651021057497815,47.76148026589267,48.871936059748386,49.97947627349656
10,39.99020886042214,41.097353490857586,42.20773602267711,43.31812282031124,44.42850962127664,45.53889642224375,46.64928322320916,47.759670020843295,48.87005255266281,49.97719718309824
11,39.9892294595893,41.09597874266366,42.206287923118204,43.3166023144644,44.42691671038845,45.53723110631519,46.64754550223925,47.75785989358545,48.86816907403998,49.974918357114326
12,39.98825000688772,41.09460417837296,42.20483991826225,43.31508190776561,44.42532390336927,45.535565898976955,46.64580789458062,47.756049884083986,48.86628562397326,49.9726397954585
13,39.987270502389784,41.09322979787837,42.203392008130486,43.313561600208494,44.42373120021232,45.533900800221964,46.64407040022581,47.75423999230382,48.864402202555915,49.9703614980445
14,39.98629094616785,41.091855601072865,42.201944192744094,43.31204139178667,44.42213860091084,45.53223581004314,46.642333019167324,47.75243021820991,48.862518809881124,49.96808346478613
15,39.985311338294196,41.0904815878495,42.20049647212423,43.31052128249378,44.42054610545805,45.530570928433406,46.6405957513977,47.75062056176725,48.86063544604196,49.96580569559726
