relative_travel;relative_flow;degree
0;	0.014035088; 0
0.05;	0.019181287;
0.1;	0.023976608;
0.2;	0.036666667;
0.3;	0.056140351;
0.4;	0.085964912;
0.5;	0.129239766;
0.6;	0.198245614;
0.7;	0.301169591;
0.8;	0.455555556;
0.9;	0.678362573;
1;	1;

