Vdot_m3ph;Head_m;Efficiency_pct;speed_pct;degree
0.001;49.95;0.1;100;2
0.593;48.41;25.1;
1.467;46.28;44.1;
2.391;42.99;53.8;
3.084;39.13;56.8;
4.189;29.66;53.8;
4.99;20;43.4;
