**Parameter**;**Datatype**;**Explanation**
p_from_bar;float;Pressure at "from"-junction [bar]
p_to_bar;float;Pressure  at "to"-junction [bar]
t_from_k;float;Temperature at "from"-junction [K]
t_to_k;float;Temperature at "to"-junction [K]
mdot_to_kg_per_s;float;Mass flow out of pressure control unit [kg/s]
mdot_from_kg_per_s;float;Mass flow into pressure control unit [kg/s]
vdot_norm_m3_per_s;float;Norm volume flow [m^3/s]
deltap_bar;float;Pressure difference between to- and from junction created by the pressure controller [bar]
