Vdot_m3ph;Head_m;degree
0;              57.25887844;    2
0.890582589;    54.85125411;
1.43999004;     53.37608775;
1.781165178;    52.3176699;
2.671747767;    48.55511495;
3.562330356;    42.66247151;
4.452912944;    34.10145476;
4.4533436;      34.09663809;
5.343495533;    22.83517592;
