**Parameter**;**Datatype**;**Value Range**;**Explanation**
name;string;;Name of the external grid
junction;integer;;Index of connected junction
p_bar;float;:math:`>` 0;Pressure set point [bar]
t_k;float;:math:`>` 0;Temperature set point [K]
in_service;boolean;True / False;Specifies if the external grid is in service.
type;string;"| Naming conventions:

| *""p""* - for node with fixed pressure
| *""t""* - for node with fixed temperature
| *""pt""* - for node with fixed pressure and temperature ";Type variable to classify external grids
