**Parameter**;**Datatype**;**Value Range**;**Explanation**
name;string;;Name of the heat exchanger
from_junction;integer;:math:`>` 0;Index of junction at which the heat exchanger starts
to_junction;integer;:math:`>` 0;Index of junction at which the heat exchanger ends
diameter_m;float;:math:`\gt` 0   ;Equivalent inner diameter of the heat exchanger [m]
qext_w;float;;The heat flow entering or leaving the heat exchanger [W]
loss_coefficient;float;:math:`\geq` 0   ;An additional loss coefficient which might account for e.g. bends
in_service;boolean;True / False;Specifies if the heat exchanger is in service.
type;string;;Type variable to classify heat exchangers
